"V1","V2","V3","V4"
331472.5,562236.2,332606.6,564355.9
332606.6,564355.9,332606.6,566801.6
332606.6,566801.6,332606.6,568921.3
332606.6,568921.3,332606.6,571367
332606.6,571367,334469.6,571367
334469.6,571367,336575.7,571367
336575.7,571367,337790.7,570470.3
337790.7,570470.3,339572.8,571041
339572.8,571041,339896.8,572916
339896.8,572916,341435.8,573486.7
341435.8,573486.7,342974.9,575035.7
342974.9,575035.7,343865.9,576258.6
343865.9,576258.6,345080.9,577481.4
345080.9,577481.4,346295.9,578378.2
346295.9,578378.2,347511,579927.2
347511,579927.2,349050,580253.3
349050,580253.3,350508.1,581476.2
350508.1,581476.2,352371.1,582373
352371.1,582373,354153.2,584818.7
354153.2,584818.7,356583.2,588487.3
356583.2,588487.3,357798.3,589058
357798.3,589058,359013.3,590280.9
359013.3,590280.9,359013.3,591259.2
359013.3,591259.2,359661.3,594275.6
359661.3,594275.6,361443.4,597047.5
361443.4,597047.5,363306.4,597944.3
363306.4,597944.3,364521.4,598841
364521.4,598841,365412.5,601286.8
365412.5,601286.8,367518.5,602265.1
367518.5,602265.1,369057.6,604058.7
369057.6,604058.7,370920.6,604710.9
370920.6,604710.9,372702.7,604710.9
372702.7,604710.9,375456.7,604058.7
375456.7,604058.7,376347.8,603732.6
376347.8,603732.6,376995.8,605607.6
376995.8,605607.6,378777.8,607401.2
378777.8,607401.2,379101.8,610173
379101.8,610173,381531.9,611069.8
381531.9,611069.8,383638,612292.7
383638,612292.7,385177,612292.7
385177,612292.7,387283.1,613515.6
387283.1,613515.6,388174.1,616287.4
388174.1,616287.4,387931.1,618162.5
387931.1,618162.5,386716,618733.2
386716,618733.2,385744,621505
385744,621505,385501,623054
385501,623054,385501,623624.7
385501,623624.7,384853,624847.6
384853,624847.6,384286,626070.5
384286,626070.5,383313.9,626967.2
383313.9,626967.2,382746.9,627945.5
382746.9,627945.5,381531.9,629413
381531.9,629413,380640.9,631614.2
380640.9,631614.2,380316.9,633407.7
380316.9,633407.7,379425.8,634059.9
379425.8,634059.9,378210.8,635527.4
378210.8,635527.4,379425.8,637076.4
379425.8,637076.4,381531.9,637076.4
381531.9,637076.4,383638,636750.3
383638,636750.3,385177,637076.4
385177,637076.4,385177,638951.4
385177,638951.4,385744,640745
385744,640745,386959,642294
386959,642294,388498.1,643843
388498.1,643843,389389.1,645310.4
389389.1,645310.4,390604.1,646288.7
390604.1,646288.7,392143.2,648408.4
392143.2,648408.4,393682.2,649957.3
393682.2,649957.3,393358.2,652647.7
393358.2,652647.7,394249.2,653626
394249.2,653626,396436.3,654196.7
396436.3,654196.7,397570.3,655501
